,Country,Year,Export_Volume
0,Angola,1990,84.35
1,Bolivia (Plurinational State of),1990,156.442
2,Brazil,1990,16935.7876003
3,Burundi,1990,584.773
4,Cameroon,1990,2611.2590004
5,Central African Republic,1990,196.698
6,Colombia,1990,13943.8700004
7,Congo,1990,1.68
8,Costa Rica,1990,2265.644
9,Côte d'Ivoire,1990,4282.8659998
10,Cuba,1990,181.7789999
11,Democratic Republic of Congo,1990,1838.636
12,Dominican Republic,1990,535.207
13,Ecuador,1990,1783.7159997
14,El Salvador,1990,2509.873
15,Equatorial Guinea,1990,7.068
16,Ethiopia,1990,1074.101
17,Gabon,1990,2.314
18,Ghana,1990,10.865
19,Guatemala,1990,3240.141
20,Guinea,1990,121.696
21,Guyana,1990,0.1999992
22,Haiti,1990,191.445
23,Honduras,1990,1735.093
24,India,1990,1979.1479994
25,Indonesia,1990,6903.2269994
26,Jamaica,1990,14.9839996
27,Kenya,1990,1969.338
28,Lao People's Democratic Republic,1990,98.3329992
29,Liberia,1990,22.411
30,Madagascar,1990,863.0399999
31,Malawi,1990,124.154
32,Mexico,1990,3683.1040021
33,Nepal,1990,0.0
34,Nicaragua,1990,671.1839999
35,Nigeria,1990,3.582
36,Panama,1990,131.654
37,Papua New Guinea,1990,1050.719
38,Paraguay,1990,262.5019999
39,Peru,1990,1105.078
40,Philippines,1990,168.282001
41,Rwanda,1990,779.15
42,Sierra Leone,1990,139.744
43,Sri Lanka,1990,19.137
44,Tanzania,1990,1019.0519998
45,Thailand,1990,1001.4349995
46,Timor-Leste,1990,0.0
47,Togo,1990,238.838
48,Trinidad & Tobago,1990,30.2319997
49,Uganda,1990,2352.68
50,Venezuela,1990,277.795
51,Viet Nam,1990,1145.2340014
52,Yemen,1990,50.0000002
53,Zambia,1990,24.36
54,Zimbabwe,1990,250.772
55,Angola,1991,70.501
56,Bolivia (Plurinational State of),1991,73.523
57,Brazil,1991,21182.7614023
58,Burundi,1991,687.851
59,Cameroon,1991,1752.1790001
60,Central African Republic,1991,140.95
