Id,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Austria,1879.7170038,2058.2710046,2206.416005,1836.4890021,1417.2140039,1231.4360012,1210.4660056,1294.2034055,1293.3541061,1499.7770114,1257.2328923,1432.4135883,1447.2073888,1336.0595881,1538.1561912,1576.5789304,1600.652025,1968.1126993,1901.0666958,1309.234032,1369.2002988,1452.4929051,1558.6093658,1554.9269506,1525.0810799,1513.3902855,1494.9385599,1459.9115324,1429.4068315,1447.5136643
1,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0055122,3490.6155829,3208.6271807,3792.172778,3817.6140246,3968.3045651,4063.2250758,4604.6839771,4013.653412,6792.086621,5915.5005882,5923.7299927,5828.442382,5668.2318442,5502.1436397,5211.7492738,5533.5142058,6052.1701635,5677.3791389,5742.2534044,6198.896527
2,Belgium_Luxembourg,2014.9540173,1746.2250189,1827.8510203,2063.2600291,2262.473036,2401.4980247,2525.823622,2544.3793194,3579.6779161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Bulgaria,268.1829982,200.2200014,182.2310123,397.4430059,462.6680067,515.418008,272.1599948,294.1540027,342.1220043,366.9190043,280.7270156,354.9049957,343.4319971,400.3609976,366.8488919,440.5141695,434.5516861,393.3613084,517.2056848,522.9957876,528.3720815,481.5102089,559.8250658,609.4866685,620.7089657,681.7565892,779.1600127,706.8825173,737.2439834,784.8967153
4,Croatia,0.0,0.0,168.1900054,162.7740011,193.4500023,320.1320059,321.8359979,385.2970035,339.0510012,352.0830048,344.3819963,352.088997,370.9149955,392.5739971,388.3918396,391.5995398,404.1215639,413.7646766,405.3261764,394.0485164,393.825469,390.8739587,384.4903604,412.8494215,419.6735498,437.201445,478.6666582,439.0744122,445.5136108,466.4175265
5,Cyprus,49.853999,53.9259999,40.8759994,77.4120001,51.8360006,43.7689997,51.5019993,41.3409992,49.7789994,55.4585999,68.5379972,59.0464969,56.6288971,58.7975968,59.3537956,80.0981044,73.8042354,71.4217923,77.5144181,71.7398673,76.7284479,82.0787537,83.8774691,93.7661831,94.3881005,89.3048755,93.1533074,99.9338742,133.1795419,133.2248737
6,Czechia,659.433,525.274,474.7310027,514.2770051,553.7970031,553.1969994,525.2980024,560.2250029,764.8390017,727.6767881,808.9423769,899.2526326,887.8802292,974.0662495,928.8746985,1063.4138261,940.4783432,1037.0786611,1037.3267569,930.025889,950.7219282,952.3665949,1126.6229015,1183.8822421,1822.6907791,2067.8385692,1779.3512446,1506.9672190000001,1903.1589019,1608.9214704
7,Denmark,959.1050037,982.7570044,1061.6230043,993.9470002,1033.1840026,877.1590019,1005.9992001,949.0705001,1013.7232012,1093.7793024,1021.7982959,1102.9635947,1075.8004931,1001.5821907,1119.4503873,993.3597532,1004.1628306,995.1983116,900.3654349,859.8465934,1014.6408946,908.8697406,913.0989936,921.1789153,853.4238792,840.7776365,905.7896194,852.1933331,867.9505231,907.935154
8,Estonia,0.0,0.0,16.3780004,51.1479976,83.0979984,107.4780016,116.9180065,141.1149967,134.6589964,130.9134032,105.3046037,160.8885019,119.7034255,133.8062641,175.7325059,221.1360714,254.4241989,277.1065846,334.3833741,357.2725337,262.8701871,166.8557318,157.2347896,156.214012,130.8537127,126.2006378,134.8026375,133.1481382,147.1377814,147.848908
9,Finland,1095.1409982,1033.0669994,1055.3610004,1301.4559992,1361.0030016,769.4989997,992.2736017,1185.5213024,1167.9353022,1209.4849999,1063.1109996,1084.0628371,1075.3348981,1104.7972988,1151.9831992,1156.4411936,1167.9794743,1207.0293039,1284.7945526,1243.2638329,1273.7434428,1286.5150648,1237.8330405,1275.4679654,1213.0553801,1320.8022792,1388.9662796,1360.0237362,1284.8228208,1515.473931
