,Country,Region_Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Algeria,Africa,1058.8870001,1782.264,862.2660006,1470.0250026,1697.6750046,897.7350043,1229.0680096,1461.0229982,475.3950068,2227.7450036,1778.846999,1454.6789994,1852.2559991,1752.3120014,2159.3019993,1891.6298221,1836.2331165,1968.3574208,2117.5360443,2066.2201713,2021.4460465,1942.3794133,2116.6466269,2124.7260094,2153.9740099,2159.120149,2323.1299872,2190.1644486,1819.1326667,2259.7919159
1,Benin,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7804512,4.3247546,0.4581476,1.7889785,8.9172729,3.3673695,0.5519889,1.5521337,1.870788,3.5138379,4.5404679,6.3325062,8.0871161,12.717981,7.674313,6.3091014,10.6403581,15.7685851,11.972798,15.5699802,22.3958932,12.3393584
2,Botswana,Africa,12.9740017,11.5360014,18.0990014,22.0700006,20.4249987,9.2490018,26.4270028,13.2610014,29.5370006,37.4280014,20.736,17.4930232,17.7590167,35.4262111,34.1617745,35.0409412,17.9632186,12.5144162,33.3031987,24.2144938,22.0169832,23.3473227,30.7003738,22.126551,20.7604027,32.9913371,23.2952128,21.0175059,5.7756537,17.5673403
3,Burkina Faso,Africa,5.5340021,7.0539981,1.8930026,7.0710053,8.430995,13.1249946,11.4190037,12.0100048,16.3450003,22.1849986,13.8419978,10.5649999,14.6129998,32.0682096,26.1618712,20.7898262,4.5735187,32.5780061,20.5811369,38.2502527,60.2566583,70.1387352,65.0294761,78.1336777,82.7620209,127.5102393,91.6399486,106.8998497,126.3162993,104.6660038
4,Cabo Verde,Africa,1.6700001,7.1190003,17.5000007,9.9680017,8.0260006,12.5909996,13.0530015,7.7060008,8.7420022,9.2259974,9.7999992,9.7620004,9.2500012,10.694943,13.8826656,10.5186934,10.8539334,9.716981,11.2641787,10.6503921,11.3423026,10.5583659,12.3255808,11.6824277,11.2264789,11.1070244,12.2587698,13.5291255,13.9431343,11.2361087
5,Chad,Africa,0.2000004,0.2000004,0.2000004,0.2000004,2.4059987,1.4421746,1.781684,1.0533254,0.26,0.26,1.516684,0.3328,0.1388254,5.1953346,1.91666,3.5298014,3.6091506,4.3186506,4.2393014,3.6759854,3.625656,0.3121414,0.1785,0.2453586,0.2440002,0.6220004,0.8900005,2.9215462,11.7420295,3.259939
6,Comoros,Africa,0.0,0.0,0.0810004,0.2080011,0.0620009,0.0219991,0.0839991,0.138999,0.0511303,0.1073227,0.0558908,0.0822918,0.214572,0.1392028,0.189426,0.2706983,0.2856097,0.1430222,0.1651939,0.2473148,0.4427894,0.6337406,1.8472251,0.4159971,0.3459998,0.4510003,1.2399999,0.7342693,1.5260219,1.6650032
7,Djibouti,Africa,0.4700004,0.4010001,0.5859996,0.9349999,0.5369986,0.378001,0.3380001,0.1590007,0.1780002,0.1290002,0.1983254,0.8326694,2.9860094,4.749476,2.8626654,27.6063346,12.3795186,21.257476,13.8133494,16.8204906,10.462316,8.9163254,3.6800186,26.48984,21.2700003,32.1950003,26.4579998,45.5185222,36.5913452,17.9336993
8,Egypt,Africa,85.5720028,107.912,133.2790004,107.7110025,92.0640022,125.3240004,150.2049999,213.6490037,116.165,140.6510048,95.1470001,79.0916637,111.5069977,107.6407382,117.6786748,125.683979,115.9863201,151.0076633,386.1197896,323.4900494,297.2686877,438.9053114,694.8260458,1035.8018493,592.9793877,725.5055981,918.1675016,565.8042338,700.1057189,1395.4869658
9,Eswatini,Africa,5.0000004,5.0000004,13.0540024,16.4679998,5.1499999,3.002999,2.2859993,7.0260013,9.8530024,8.9070001,22.6519986,10.7307664,19.31565,59.2809225,18.3679981,17.3955468,10.4350522,19.2658162,22.2548016,22.2548016,22.2548016,7.3914856,7.3914856,25.6229854,8.9239994,15.8779998,12.2789996,7.0034209,8.0610581,5.6094916
